"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3090000","CDFH3301062016000001","20160216","","01","영업/정상","13","영업중","","","","","02-997-9972","","","서울특별시 도봉구 쌍문동 380-28","서울특별시 도봉구 노해로 150 2층 (쌍문동 서울도봉우체국)","01450","S gym","20210223091217","U","2020-12-01 22:05:00.0","","202339.332805746","460610.308236962","","","","","","","","",""
"3090000","CDFH3301062016000003","20160421","","03","폐업","03","폐업","20180514","","","","02-990-7118","","","서울특별시 도봉구 창동 731-34번지 ","서울특별시 도봉구 해등로16길 7 지층층 (창동)","01401","크로스핏YG현무","20180514140409","I","2018-08-31 23:59:59.0","","203535.830883056    ","461558.996025522    ","체력단련장업","사립","","1","","1156.83","","",""
"3090000","CDFH3301061997000003","19970529","","03","폐업","03","폐업","20061011","","","","","","132846","서울특별시 도봉구 방학동 653-1번지 ","서울특별시 도봉구 도봉로 727-1  (방학동)","","파워라인헬스","20061123101039","I","2018-08-31 23:59:59.0","","203740.571705436    ","463009.86255605     ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301062018000005","20180731","","03","폐업","03","폐업","20181018","","","","","","","서울특별시 도봉구 방학동 720-33번지 도봉월드상가 ","서울특별시 도봉구 마들로 650 도봉월드상가 지하1층 (방학동)","01331","바디플래너짐","20181019101518","U","2018-10-21 02:37:55.0","","204083.769271308    ","462849.020752258    ","체력단련장업","사립","","2","","","","",""
"3090000","CDFH3301062019000005","20190702","","01","영업/정상","13","영업중","","","","","02-900-1209","","","서울특별시 도봉구 창동 581-71번지 ","서울특별시 도봉구 덕릉로 251 3 4층 (창동)","01470","라이프플러스휘트니스","20190702132010","I","2019-07-04 02:21:28.0","","203383.359766028    ","459756.215388608    ","체력단련장업","사립","","2","","1206","","",""
"3090000","CDFH3301062019000004","20190424","","01","영업/정상","13","영업중","","","","","","","","서울특별시 도봉구 창동 45번지 삼성아파트 ","서울특별시 도봉구 노해로66길 29 삼성아파트 상가1동 B01호 (창동)","01422","홍짐","20190424091717","I","2019-05-13 14:10:03.0","","204214.210632572    ","460746.553675666    ","체력단련장업","사립","","","","1374.2","","",""
"3090000","CDFH3301062019000002","20190329","","01","영업/정상","13","영업중","","","","","","","","서울특별시 도봉구 쌍문동 96-4번지 우림빌딩 ","서울특별시 도봉구 도봉로 461 우림빌딩 B1층 (쌍문동)","01447","바디컨펌","20190331182138","U","2019-04-02 02:40:00.0","","202871.080504567    ","460522.031748747    ","체력단련장업","사립","","","","2973.55","","",""
"3090000","CDFH3301062019000001","20190304","","01","영업/정상","13","영업중","","","","","02-3493-7553","","","서울특별시 도봉구 방학동 720-33번지 도봉월드상가 207호","서울특별시 도봉구 마들로 650 도봉월드상가 207호 (방학동)","01331","핏오짐","20190304112653","I","2019-03-06 02:21:41.0","","204083.769271308    ","462849.020752258    ","체력단련장업","사립","","1","","22213.94","","",""
"3090000","CDFH3301062018000006","20181205","","01","영업/정상","13","영업중","","","","","02-903-5579","","","서울특별시 도봉구 쌍문동 19번지 쌍문동 LG트윈빌1 ","서울특별시 도봉구 도당로 10 지하2층 비101호 (쌍문동 쌍문동 LG트윈빌1)","01394","메이트 휘트니스","20181205175848","I","2018-12-07 02:20:08.0","","203048.669322526    ","461867.647869631    ","체력단련장업","사립","Y","2","","11455","","",""
"3090000","CDFH3301062007000001","20070511","","01","영업/정상","13","영업중","","","","","907-3161","","132916","서울특별시 도봉구 창동 501-20번지 ","서울특별시 도봉구 우이천로4길 31  (창동)","","비타민헬스","20101222100133","I","2018-08-31 23:59:59.0","","203556.254398947    ","459086.49336668     ","체력단련장업","사립","0","","","","","",""
